"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","104.18.41.41","192.168.1.15","UDP","721","443  >  59001 Len=679"
"2","0.012990500","192.168.1.15","104.18.41.41","UDP","89","59001  >  443 Len=47"
"3","0.628746100","192.168.1.3","192.168.1.255","UDP","86","57621  >  57621 Len=40"
"4","2.743139900","192.168.1.3","224.0.0.251","MDNS","119","Standard query 0x000c PTR _googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"5","2.799961600","fe80::5c76:a4ff:fed1:f3d8","ff02::fb","MDNS","139","Standard query 0x000c PTR _googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question PTR _CC32E753._sub._googlecast._tcp.local, ""QM"" question"
"6","3.073296600","192.168.1.3","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"7","3.103044800","fe80::5c76:a4ff:fed1:f3d8","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"8","5.384956700","192.168.1.15","35.190.80.1","TCP","55","55417  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"9","5.395757900","35.190.80.1","192.168.1.15","TCP","66","443  >  55417 [ACK] Seq=1 Ack=2 Win=1047 Len=0 SLE=1 SRE=2"
"10","6.806870500","192.168.1.15","142.250.70.46","UDP","1286","55448  >  443 Len=1244"
"11","6.807237300","192.168.1.15","142.250.70.46","UDP","1292","55448  >  443 Len=1250"
"12","6.807428300","192.168.1.15","142.250.70.46","UDP","1245","55448  >  443 Len=1203"
"13","6.840247900","142.250.70.46","192.168.1.15","UDP","69","443  >  55448 Len=27"
"14","6.865769900","142.250.70.46","192.168.1.15","UDP","66","443  >  55448 Len=24"
"15","6.866016100","192.168.1.15","142.250.70.46","UDP","74","55448  >  443 Len=32"
"16","6.930920700","142.250.70.46","192.168.1.15","UDP","631","443  >  55448 Len=589"
"17","6.930921700","142.250.70.46","192.168.1.15","UDP","310","443  >  55448 Len=268"
"18","6.931232000","192.168.1.15","142.250.70.46","UDP","78","55448  >  443 Len=36"
"19","6.988552700","142.250.70.46","192.168.1.15","UDP","66","443  >  55448 Len=24"
"20","7.356290000","172.67.72.108","192.168.1.15","TLSv1.2","79","Application Data"
"21","7.357231500","192.168.1.15","172.67.72.108","TLSv1.2","83","Application Data"
"22","7.362380600","172.67.72.108","192.168.1.15","TCP","54","443  >  59939 [ACK] Seq=26 Ack=30 Win=18 Len=0"
"23","7.368919300","192.168.1.15","104.18.41.41","TCP","55","62709  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"24","7.376780000","104.18.41.41","192.168.1.15","TCP","66","443  >  62709 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"25","8.000816200","104.18.41.41","192.168.1.15","UDP","721","443  >  59001 Len=679"
"26","8.009852400","192.168.1.15","104.18.41.41","UDP","89","59001  >  443 Len=47"
"27","8.821538700","192.168.1.15","57.144.49.32","TCP","55","53907  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"28","8.826792200","57.144.49.32","192.168.1.15","TCP","54","443  >  53907 [ACK] Seq=1 Ack=2 Win=324 Len=0"
